data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00035	1.0	0.76667	0.74242	0.75706	0.75833	0.7027	0.72414	0.72549	0.70667	0.7619	0.72	0.72072	0.71717	0.72619	0.73016	0.71631	0.71569	0.73016	0.7265	0.75439	0.73585	0.72619	0.73171	0.73529	0.72727	0.72789	0.73913	0.71264	0.75641	0.72727	0.73529	0.71429	0.75926	0.75269	0.78333	0.73958	0.77011	0.72436	0.69945	0.76577	0.71717	0.72727	0.76923	0.74713	0.70707	0.74603	0.73563	0.79365	0.74747	0.72414	0.74286	0.7193	0.74359	0.72619	0.725	0.75269	0.76543	0.73889	0.75	0.72222	
D00110	0.76667	1.0	0.74667	0.80791	0.76	0.73333	0.72414	0.72667	0.72667	0.78	0.76667	0.76	0.78	0.74	0.76667	0.76	0.76667	0.79333	0.75333	0.74	0.72327	0.75	0.78667	0.76667	0.72	0.75333	0.7971	0.72	0.76667	0.76667	0.74667	0.74	0.72	0.78	0.74667	0.77333	0.72	0.75	0.73224	0.77333	0.80667	0.73333	0.79333	0.78667	0.74	0.75333	0.76667	0.78	0.76	0.75333	0.74	0.79532	0.74667	0.74667	0.72667	0.80667	0.80667	0.76667	0.76	0.74667	
D00136	0.74242	0.74667	1.0	0.72881	0.73485	0.78788	0.76437	0.75758	0.81333	0.79545	0.85333	0.82576	0.79545	0.78788	0.82576	0.75887	0.79545	0.82576	0.78788	0.76515	0.7673	0.76786	0.81818	0.7803	0.76515	0.7551	0.78744	0.7803	0.81818	0.81061	0.87879	0.75	0.74242	0.84091	0.75	0.84091	0.72727	0.75	0.74863	0.7803	0.77273	0.81061	0.79545	0.81061	0.78788	0.76515	0.77273	0.78788	0.84091	0.79545	0.77273	0.77778	0.73485	0.76515	0.79545	0.79545	0.79545	0.75	0.76515	0.75758	
D00195	0.75706	0.80791	0.72881	1.0	0.73446	0.71186	0.71751	0.74011	0.71751	0.71186	0.72881	0.72316	0.74011	0.71751	0.72881	0.72881	0.72316	0.72316	0.70621	0.72881	0.72316	0.72316	0.72316	0.70621	0.71751	0.73446	0.75362	0.71751	0.73446	0.72881	0.72881	0.73446	0.72881	0.72881	0.71186	0.72316	0.74011	0.71186	0.72131	0.72316	0.73446	0.72316	0.72316	0.72881	0.71186	0.71751	0.73446	0.71751	0.71751	0.74011	0.70056	0.72881	0.72881	0.72881	0.71186	0.71751	0.72316	0.75556	0.70056	0.72316	
D00219	0.75833	0.76	0.73485	0.73446	1.0	0.725	0.75287	0.76667	0.70667	0.76667	0.77333	0.71667	0.79167	0.825	0.75397	0.73759	0.81667	0.77778	0.78333	0.79167	0.91824	0.80952	0.77236	0.79167	0.76515	0.76871	0.76329	0.75	0.75	0.75	0.73333	0.75833	0.925	0.78333	0.76667	0.70833	0.80833	0.76923	0.77049	0.75833	0.74167	0.775	0.79167	0.74167	0.75	0.79167	0.81667	0.775	0.75	0.73333	0.78333	0.79532	0.74167	0.79167	0.75	0.79167	0.78333	0.76111	0.75	0.775	
D00225	0.7027	0.73333	0.78788	0.71186	0.725	1.0	0.74713	0.79279	0.81333	0.78378	0.78667	0.79279	0.76577	0.77477	0.76984	0.75887	0.78378	0.77778	0.75214	0.72072	0.77987	0.76786	0.76423	0.72973	0.76515	0.7551	0.76812	0.8018	0.78378	0.78788	0.84685	0.78378	0.71171	0.76577	0.73874	0.79279	0.72072	0.75	0.74863	0.74775	0.81081	0.86486	0.76577	0.77477	0.77477	0.73874	0.72072	0.75676	0.79279	0.78378	0.72072	0.74269	0.71171	0.79279	0.79167	0.78378	0.76577	0.73333	0.75676	0.72072	
D00227	0.72414	0.72414	0.76437	0.71751	0.75287	0.74713	1.0	0.73563	0.74138	0.77011	0.77011	0.75287	0.75862	0.76437	0.75862	0.75287	0.75862	0.76437	0.76437	0.73563	0.74713	0.74138	0.75862	0.77011	0.77011	0.75862	0.75362	0.77586	0.74713	0.74713	0.75287	0.73563	0.74138	0.77011	0.75287	0.75287	0.74138	0.73563	0.74317	0.77586	0.76437	0.77586	0.77011	0.75287	0.76437	0.76437	0.75862	0.75287	0.75287	0.77011	0.75862	0.74713	0.75287	0.78161	0.76437	0.77011	0.75287	0.71667	0.75862	0.74713	
D00228	0.72549	0.72667	0.75758	0.74011	0.76667	0.79279	0.73563	1.0	0.79333	0.76471	0.77333	0.72973	0.77451	0.7549	0.72222	0.7234	0.76471	0.76984	0.75214	0.7451	0.77987	0.77976	0.76423	0.7451	0.75758	0.72109	0.75362	0.73529	0.72549	0.74242	0.7451	0.92381	0.77778	0.7451	0.7451	0.73529	0.7549	0.73718	0.73224	0.8018	0.73529	0.7451	0.7451	0.73529	0.7451	0.7451	0.71569	0.7451	0.70588	0.72549	0.74286	0.76023	0.71569	0.76471	0.74167	0.76471	0.73529	0.73333	0.71569	0.72549	
D00234	0.70667	0.72667	0.81333	0.71751	0.70667	0.81333	0.74138	0.79333	1.0	0.78	0.77333	0.81333	0.77333	0.75333	0.81333	0.74667	0.78	0.77333	0.76	0.72	0.75472	0.78571	0.75333	0.74	0.76667	0.75333	0.80676	0.76	0.78	0.79333	0.83333	0.79333	0.74	0.78	0.72667	0.81333	0.73333	0.74359	0.74863	0.76	0.78667	0.78667	0.76	0.78667	0.79333	0.73333	0.73333	0.74667	0.78667	0.78667	0.73333	0.78947	0.72	0.76667	0.76667	0.76667	0.75333	0.72222	0.75333	0.73333	
D00252	0.7619	0.78	0.79545	0.71186	0.76667	0.78378	0.77011	0.76471	0.78	1.0	0.78667	0.82883	0.79798	0.7619	0.76984	0.78014	0.78431	0.84921	0.82051	0.72619	0.75472	0.75	0.84553	0.79412	0.77273	0.78231	0.77295	0.73563	0.77381	0.84848	0.81373	0.7619	0.7037	0.75269	0.71429	0.90625	0.68966	0.76923	0.7541	0.78378	0.79798	0.80808	0.77381	0.73563	0.83838	0.70238	0.71264	0.84524	0.78788	0.7931	0.8	0.76608	0.70238	0.72619	0.8	0.95699	0.82143	0.71111	0.84524	0.71429	
D00274	0.72	0.76667	0.85333	0.72881	0.77333	0.78667	0.77011	0.77333	0.77333	0.78667	1.0	0.78667	0.82667	0.80667	0.78667	0.78667	0.82	0.84	0.77333	0.76	0.74843	0.76786	0.82667	0.76667	0.82667	0.74667	0.7971	0.77333	0.79333	0.76	0.81333	0.77333	0.76667	0.81333	0.75333	0.81333	0.73333	0.74359	0.75956	0.76667	0.79333	0.80667	0.80667	0.84	0.79333	0.76667	0.78667	0.78	0.77333	0.77333	0.75333	0.80702	0.75333	0.78667	0.76667	0.81333	0.78667	0.74444	0.75333	0.76	
D00283	0.72072	0.76	0.82576	0.72316	0.71667	0.79279	0.75287	0.72973	0.81333	0.82883	0.78667	1.0	0.79279	0.77477	0.80159	0.77305	0.81081	0.81746	0.77778	0.72973	0.76101	0.75595	0.79675	0.74775	0.7803	0.7551	0.78744	0.75676	0.8018	0.86364	0.8018	0.72973	0.73874	0.78378	0.74775	0.87387	0.71171	0.74359	0.74863	0.75676	0.81081	0.79279	0.79279	0.82883	0.81982	0.75676	0.76577	0.77477	0.81081	0.81982	0.75676	0.78363	0.72072	0.76577	0.8	0.8018	0.77477	0.73333	0.79279	0.75676	
D00293	0.71717	0.78	0.79545	0.74011	0.79167	0.76577	0.75862	0.77451	0.77333	0.79798	0.82667	0.79279	1.0	0.84848	0.7619	0.75887	0.82353	0.80159	0.76068	0.74747	0.77358	0.79762	0.80488	0.76471	0.79545	0.7483	0.75362	0.75758	0.78788	0.76515	0.77451	0.78095	0.78704	0.79798	0.76768	0.76768	0.74747	0.74359	0.74863	0.75676	0.83838	0.75758	0.84848	0.81818	0.71717	0.75758	0.75758	0.80808	0.77778	0.75758	0.72381	0.79532	0.71717	0.79798	0.74167	0.81818	0.81818	0.72778	0.77778	0.76768	
D00294	0.72619	0.74	0.78788	0.71751	0.825	0.77477	0.76437	0.7549	0.75333	0.7619	0.80667	0.77477	0.84848	1.0	0.75397	0.76596	0.77451	0.83333	0.75214	0.75	0.79245	0.79167	0.82927	0.78431	0.81818	0.7619	0.74879	0.74713	0.75	0.78788	0.77451	0.75238	0.78704	0.76344	0.7619	0.73958	0.72414	0.76923	0.7541	0.75676	0.76768	0.80808	0.7381	0.73563	0.77778	0.77381	0.7931	0.7381	0.76768	0.72414	0.78095	0.75439	0.7381	0.79762	0.775	0.7957	0.7381	0.73333	0.71429	0.77381	
D00303	0.73016	0.76667	0.82576	0.72881	0.75397	0.76984	0.75862	0.72222	0.81333	0.76984	0.78667	0.80159	0.7619	0.75397	1.0	0.80851	0.7619	0.75397	0.76984	0.7619	0.78616	0.78571	0.74603	0.74603	0.78788	0.82993	0.77778	0.77778	0.8254	0.80303	0.81746	0.71429	0.75397	0.79365	0.7381	0.83333	0.7381	0.8141	0.80328	0.76984	0.78571	0.76984	0.80159	0.81746	0.84127	0.7619	0.75397	0.79365	0.84921	0.83333	0.75397	0.81287	0.73016	0.74603	0.8254	0.75397	0.81746	0.76111	0.77778	0.7619	
D00319	0.71631	0.76	0.75887	0.72881	0.73759	0.75887	0.75287	0.7234	0.74667	0.78014	0.78667	0.77305	0.75887	0.76596	0.80851	1.0	0.77305	0.75887	0.78014	0.75887	0.7673	0.76786	0.75177	0.76596	0.80142	0.91156	0.77295	0.78723	0.78723	0.83688	0.78014	0.7234	0.7305	0.78723	0.78723	0.78014	0.7305	0.89744	0.86885	0.77305	0.78014	0.77305	0.79433	0.78723	0.78014	0.76596	0.79433	0.79433	0.79433	0.77305	0.79433	0.77193	0.75887	0.75887	0.76596	0.77305	0.80851	0.75	0.76596	0.75177	
D00326	0.71569	0.76667	0.79545	0.72316	0.81667	0.78378	0.75862	0.76471	0.78	0.78431	0.82	0.81081	0.82353	0.77451	0.7619	0.77305	1.0	0.8254	0.77778	0.7451	0.79874	0.79762	0.81301	0.7549	0.76515	0.7551	0.77295	0.7549	0.77451	0.79545	0.7549	0.75238	0.74074	0.79412	0.76471	0.78431	0.73529	0.75641	0.75956	0.77477	0.77451	0.78431	0.81373	0.79412	0.76471	0.7549	0.7549	0.78431	0.78431	0.7549	0.7619	0.82456	0.72549	0.7549	0.775	0.80392	0.80392	0.73889	0.76471	0.7451	
D00329	0.73016	0.79333	0.82576	0.72316	0.77778	0.77778	0.76437	0.76984	0.77333	0.84921	0.84	0.81746	0.80159	0.83333	0.75397	0.75887	0.8254	1.0	0.76984	0.74603	0.77987	0.77976	0.93651	0.77778	0.75	0.7483	0.78261	0.74603	0.8254	0.81818	0.79365	0.7619	0.74603	0.80159	0.75397	0.85714	0.73016	0.75	0.77049	0.77778	0.80952	0.78571	0.83333	0.80952	0.79365	0.7619	0.78571	0.79365	0.80952	0.77778	0.7619	0.81287	0.75397	0.77778	0.77778	0.86508	0.8254	0.73889	0.76984	0.76984	
D00331	0.7265	0.75333	0.78788	0.70621	0.78333	0.75214	0.76437	0.75214	0.76	0.82051	0.77333	0.77778	0.76068	0.75214	0.76984	0.78014	0.77778	0.76984	1.0	0.76068	0.77987	0.77381	0.76423	0.86325	0.74242	0.76871	0.78744	0.79487	0.78632	0.7803	0.76923	0.73504	0.75214	0.81197	0.76068	0.77778	0.73504	0.75641	0.75956	0.80342	0.76068	0.77778	0.79487	0.79487	0.76068	0.76068	0.76068	0.82051	0.78632	0.76923	0.81197	0.78363	0.71795	0.76923	0.78333	0.82906	0.82906	0.73889	0.83761	0.75214	
D00332	0.75439	0.74	0.76515	0.72881	0.79167	0.72072	0.73563	0.7451	0.72	0.72619	0.76	0.72973	0.74747	0.75	0.7619	0.75887	0.7451	0.74603	0.76068	1.0	0.7673	0.76786	0.7561	0.76471	0.72727	0.7551	0.72947	0.73563	0.78205	0.75758	0.73529	0.73333	0.7963	0.78495	0.76667	0.75	0.8046	0.75	0.74863	0.74775	0.75758	0.73737	0.80769	0.77011	0.71717	0.84127	0.81609	0.77778	0.73737	0.77011	0.71429	0.74854	0.76923	0.75	0.725	0.75269	0.81481	0.75556	0.73611	0.82456	
D00335	0.73585	0.72327	0.7673	0.72316	0.91824	0.77987	0.74713	0.77987	0.75472	0.75472	0.74843	0.76101	0.77358	0.79245	0.78616	0.7673	0.79874	0.77987	0.77987	0.7673	1.0	0.95833	0.77987	0.79874	0.80503	0.77358	0.74396	0.78616	0.76101	0.74214	0.7673	0.7673	0.83648	0.77987	0.76101	0.74214	0.78616	0.77358	0.80328	0.78616	0.79245	0.76101	0.7673	0.75472	0.76101	0.76101	0.79874	0.76101	0.77358	0.75472	0.79245	0.78947	0.72956	0.78616	0.77358	0.77358	0.7673	0.75	0.74843	0.75472	
