data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.84872	0.62308	0.72692	0.77179	0.57308	0.64487	0.77564	0.89744	0.90115	0.72179	0.7875	0.79615	0.86943	0.78444	0.48974	0.83452	0.65897	0.56667	0.77564	0.57308	0.78452	0.79487	0.47821	0.64872	0.52051	0.48077	0.76154	0.50641	0.51282	0.4641	0.7901	0.48077	0.47564	0.79412	0.72949	0.73253	0.72949	0.70769	0.47949	0.51795	0.5141	0.79457	0.50897	0.74725	0.84487	0.81481	0.887	0.50385	0.83605	0.48846	0.72949	0.66923	0.52821	
D00066	0.94487	1.0	0.71429	0.86508	0.87568	0.59206	0.74127	0.81026	0.97313	0.87356	0.86094	0.8125	0.75797	0.87962	0.88444	0.52222	0.84167	0.72464	0.58095	0.91408	0.59206	0.85	0.90476	0.50794	0.74603	0.51587	0.47778	0.872	0.50952	0.53968	0.46825	0.90297	0.5	0.49365	0.81765	0.87846	0.85301	0.87846	0.86667	0.49841	0.61351	0.50794	0.85435	0.53175	0.78462	0.99545	0.9	0.921	0.60274	0.95465	0.50952	0.83538	0.79429	0.55556	
D00067	0.80256	0.80952	1.0	0.90167	0.91081	0.558	0.97963	0.79359	0.81493	0.84483	0.90156	0.77875	0.75942	0.87389	0.83889	0.554	0.78452	0.8942	0.57885	0.83239	0.558	0.83214	0.82381	0.536	0.97414	0.574	0.582	0.79067	0.538	0.60351	0.63065	0.85941	0.554	0.574	0.80235	0.88769	0.8506	0.88769	0.91067	0.57018	0.66216	0.55882	0.82826	0.556	0.83956	0.82424	0.85556	0.824	0.69041	0.82907	0.59474	0.85538	0.96143	0.554	
D00075	0.84231	0.88095	0.81833	1.0	0.96216	0.59	0.87	0.80641	0.86119	0.87241	0.97188	0.79125	0.75362	0.88471	0.88889	0.505	0.82976	0.74638	0.55833	0.89577	0.59	0.8131	0.87302	0.51333	0.85167	0.51	0.49333	0.81333	0.50333	0.51167	0.47742	0.90396	0.49333	0.49833	0.83059	0.95692	0.87108	0.95692	0.97067	0.46833	0.60946	0.525	0.82065	0.50667	0.8044	0.89242	0.82469	0.869	0.56986	0.87326	0.50333	0.91385	0.91571	0.56333	
D00088	0.79744	0.7973	0.74865	0.86757	1.0	0.59189	0.76216	0.76154	0.77297	0.81609	0.89054	0.7475	0.71351	0.86688	0.88111	0.51351	0.75476	0.70811	0.58514	0.81486	0.59189	0.76071	0.7973	0.52027	0.79459	0.54595	0.51351	0.80267	0.52162	0.55676	0.49595	0.86931	0.49459	0.50811	0.78941	0.87703	0.84578	0.87703	0.896	0.52162	0.5527	0.53919	0.78587	0.51486	0.77363	0.8027	0.7642	0.834	0.50946	0.85581	0.51216	0.85811	0.78784	0.52162	
D00094	0.77179	0.71905	0.588	0.69833	0.77432	1.0	0.59815	0.82564	0.7194	0.77701	0.72188	0.81875	0.78551	0.89427	0.80444	0.54894	0.82262	0.68116	0.72115	0.7493	0.98511	0.81429	0.69683	0.52979	0.65517	0.58511	0.57872	0.76667	0.59149	0.68421	0.6371	0.82871	0.50426	0.6	0.84824	0.72462	0.80482	0.72462	0.75733	0.6386	0.74324	0.63529	0.82174	0.58085	0.7978	0.72727	0.79383	0.835	0.6863	0.81628	0.61404	0.73538	0.71714	0.59149	
D00105	0.79872	0.80476	0.94259	0.92	0.8973	0.53333	1.0	0.78974	0.81045	0.84138	0.90781	0.78375	0.75507	0.88089	0.83556	0.54259	0.78929	0.84928	0.55	0.82817	0.53333	0.8119	0.81905	0.52593	0.98103	0.56111	0.56852	0.77733	0.54074	0.54912	0.58065	0.85644	0.54259	0.56111	0.80706	0.89385	0.83855	0.89385	0.916	0.52807	0.62973	0.55185	0.825	0.54444	0.83626	0.8197	0.81728	0.821	0.65753	0.81744	0.55263	0.86154	0.97714	0.52963	
D00129	0.77564	0.7141	0.6141	0.69103	0.7359	0.62692	0.6359	1.0	0.7359	0.8046	0.70385	0.86625	0.87692	0.85605	0.75333	0.50769	0.87619	0.61154	0.59359	0.72179	0.62692	0.74048	0.69615	0.5141	0.65769	0.55641	0.51667	0.68077	0.53333	0.53077	0.50897	0.77624	0.48077	0.52051	0.96706	0.69103	0.74096	0.69103	0.69872	0.52436	0.56282	0.55	0.75652	0.52692	0.73187	0.71923	0.73704	0.803	0.52179	0.76279	0.49744	0.70897	0.66923	0.54359	
D00143	0.96795	0.94328	0.69552	0.81642	0.82432	0.57015	0.7209	0.80641	1.0	0.88391	0.81045	0.80875	0.75362	0.88662	0.84222	0.50448	0.8381	0.7	0.57015	0.86056	0.57015	0.85476	0.87463	0.49104	0.72537	0.49851	0.48358	0.82133	0.49254	0.53134	0.46418	0.86535	0.48358	0.48806	0.81412	0.82537	0.83253	0.82537	0.816	0.48209	0.58108	0.49104	0.8587	0.52388	0.76923	0.93881	0.91358	0.883	0.56027	0.91047	0.49254	0.79403	0.75	0.54627	
D00163	0.84943	0.78161	0.63218	0.71724	0.74138	0.54713	0.65172	0.75287	0.8092	1.0	0.71264	0.71839	0.6908	0.8707	0.76333	0.49655	0.73793	0.64598	0.54943	0.76897	0.54713	0.73563	0.81034	0.49425	0.65517	0.52414	0.48046	0.71609	0.51954	0.52529	0.46552	0.78515	0.48046	0.47586	0.73678	0.70115	0.7069	0.70115	0.7	0.51149	0.53793	0.52644	0.7663	0.51379	0.7033	0.77816	0.80575	0.819	0.52529	0.79195	0.4954	0.70115	0.66552	0.52069	
